prompt,input,output
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with a range of concerning symptoms, including fever, scrotal or testicular pain, scrotal swelling, urethral discharge, dysuria (painful urination), and a general sense of malaise. During examination, specific signs have been noted, including fever, tender and swollen hemiscrotum (one side of the scrotum), inflamed epididymis and testis, secondary hydrocele (accumulation of fluid in the scrotal sac), and a positive Prehn's sign (reduction of pain when the affected testicle is lifted).","{'Suspected medical condition': 'ACUTE EPIDIDYMO-ORCHITIS', 'Causes': ['Mumps virus (orchitis)', 'Escherichia coli', 'Chlamydia', 'Gonococcus', 'Staphylococcus', 'Streptococcus', 'Pseudomonas', 'Mycobacterium tuberculosis', 'Instrumentation/catheterization', 'Untreated lower urinary tract obstruction', 'Genito-urinary surgery'], 'Investigations': ['Urinalysis', 'Urine culture and sensitivity', 'FBC and ESR', 'Blood culture and sensitivity', 'Scrotal ultrasound/MRI'], 'Treatment Objectives': ['To relieve symptoms', 'To eradicate the infection', 'To prevent recurrence', 'To prevent complications'], 'Non Pharmacological Treatment': ['Bed rest', 'Scrotal support', 'Surgical drainage of abscess', 'Avoid unprotected sex until treatment is completed successfully and follow up counseling', 'Trace and treat sexual contacts'], 'Pharmacological Treatment': {'1st Line Treatment': {'Ciprofloxacin, oral': '500 mg 12 hourly for 14 days (Adult), 5-15 mg/kg 12 hourly for 14 days (Children)', 'Doxycycline, oral': '100 mg 12 hourly for 4 weeks in cases of sexually transmitted infections', 'Azithromycin, oral': '500 mg daily for 3 days (Adult), 10 mg/kg daily for 3 days (Children)'}, '2nd Line Treatment': {'Norfloxacin, oral': '400 mg 12 hourly for 14 days (Adult)', 'Levofloxacin': '500 mg daily for 14 days (Adult)', 'Diclofenac sodium, oral': '50 mg 8 hourly', 'Ibuprofen, oral': '400 mg 8 hourly'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with an abrupt onset of distressing symptoms, including a sudden high fever, drooling of saliva, difficulty in swallowing (dysphagia), and breathing difficulties. Upon examination, there are prominent signs indicative of the severity of the condition. The patient appears extremely ill and toxic, displaying fever and holding the head forward to extend the neck. Breathing difficulties are evident, accompanied by a weakened voice and reduced air entry upon auscultation. Stridor, a high-pitched sound during breathing, is also noticeable. In particularly severe cases, cyanosis (bluish discoloration) may appear in very sick children. Moreover, the epiglottis, a flap of tissue in the throat, is swollen and reddened.","{'Suspected medical condition': 'ACUTE EPIGLOTTITIS', 'Causes': ['Haemophilus influenzae type B', 'Streptococcus pyogenes', 'Streptococcus pneumoniae', 'Staphylococcus aureus'], 'Investigations': ['FBC', 'Blood culture', 'Lateral soft tissue X-ray of the neck', 'ECG', 'Immunology (e.g. ANA, AntiDs DNA)', 'ASO (antistreptolysin O) titres', 'Ultrasound of kidneys'], 'TreatmentObjectives': ['To relieve obstruction', 'To treat bacteraemia'], 'NonPharmacologicalTreatment': ['Establishment of airway if necessary by intubation or tracheostomy'], 'PharmacologicalTreatment': {'1stLineTreatment': {'Cefuroxime, IV': '750 mg-1.5 g 8 hourly for 7 days (Adults), 25 mg/kg 8 hourly for 7 days (Children)', 'Metronidazole, IV': '500 mg 8 hourly for 7 days (Adults), 7.5 mg/kg 6 hourly for 7 days (Children)'}, '2ndLineTreatment': {'Cefotaxime, IV': '1-2 g IV or IM 8 hourly for 7 days (Adults), 50 mg/kg 8 hourly for 7 days (Children)', 'Amoxicillin + Clavulanic Acid, IV': '1.2 g 12 hourly for 7 days (Adults), 600 mg to 1.2 g 12 hourly (Children)'}, 'NonPharmacologicalTreatment': ['Refer all patients immediately to a specialist if there is no expertise available for intubation or tracheostomy.']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with a variety of concerning symptoms, including a history of preceding infection, generalized oedema (swelling), breathlessness, anorexia (loss of appetite), fever, seizures, scanty urine production, and haematuria (presence of blood in urine). Examination has revealed distinct signs that contribute to understanding the severity of the situation. The patient displays oedema, oliguria (reduced urine output), hypertension (high blood pressure), haematuria, and dark-colored urine. Additionally, there are indications of acute heart failure and, in severe cases, the possibility of coma.","{'Suspected medical condition': 'ACUTE GLOMERULONEPHRITIS', 'Causes': ['Post streptococcal infections (pharyngeal or skin infections)', 'Infected scabies', 'Other bacterial infections (e.g. salmonella)', 'Hepatitis B virus, Hepatitis C virus, HIV', 'Parasitic infections (e.g. Schistosoma, Malaria)', 'Systemic lupus erythematosus and other vasculitides'], 'Investigations': ['Urinalysis', 'Sediment shows erythrocytes, leukocytes, and a variety of casts', 'Proteinuria', 'FBC', 'BUE and Creatinine', 'Throat cultures', 'Chest X-ray', 'ECG', 'Immunology (e.g. ANA, Anti-smooth muscle Antibody)', 'ASO (antistreptolysin O) titres', 'Ultrasound of kidneys'], 'Treatment Objectives': ['To identify and stop the cause of renal injury', 'To prevent and control complications'], 'Non Pharmacological Treatment': ['Bed rest', 'Salt restriction in diet', 'Control fluid balance', 'Beware of hyperkalaemia', 'Nutrition: Give protein of high biological value', 'Daily weighing'], 'Pharmacological Treatment': {'Supportive Care': 'Analgesia, fluid replacement, etc. as required', 'Non Pharmacological Treatment': ['Refer all patients with complications of renal failure, severe cardiac failure, and hypertensive encephalopathy to a physician specialist or a nephrologist.']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with an array of concerning symptoms, including right hypochondrial pain, fever, malaise, anorexia (loss of appetite), nausea, vomiting, yellow or dark-colored urine, pale stools, itching, fatigue, and confusion. Examination reveals notable signs that help in understanding the condition's severity. The patient exhibits jaundice, right hypochondrial tenderness, hepatomegaly (enlarged liver), and the presence of asterixis, a hand-flapping tremor indicative of potential neurological involvement.","{'Suspected medical condition': 'ACUTE HEPATITIS', 'Causes': ['Viruses (Hepatitis A, B, C, D and E, Yellow Fever etc.)', 'Drugs (allopathic, alternative and herbal preparations)', 'Alcohol', 'Autoimmune'], 'Investigations': ['FBC', 'Liver function tests', 'Hepatitis screen', 'Antinuclear Antibody, Anti-smooth muscle Antibody', 'Abdomino-pelvic ultrasound scan', 'Plain X-ray of abdomen'], 'Treatment Objectives': ['To identify and eliminate the precipitating cause', 'To relieve symptoms'], 'Non Pharmacological Treatment': ['Rest', 'High calorie fluids', 'Intravenous fluids if volume depleted', 'Any food that the patient can tolerate', 'Avoid alcohol'], 'Pharmacological Treatment': {'SupportiveCare': 'Analgesia, fluid replacement, etc. as required', 'Non Pharmacological Treatment': ['Refer patients with rapidly progressing symptoms and signs to a physician specialist.']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with a range of concerning symptoms, including nausea and vomiting, oliguria (reduced urine output), anuria (absence of urine output), oedema (swelling), decreased appetite, a metallic taste in the mouth, hiccups, changes in mood, flank pain, fatigue, and diarrhoea.","{'Suspected medical condition': 'Acute Kidney Injury', 'Causes': ['Obstetric', 'Gynaecological', 'Medical', 'Surgical', 'Burns'], 'Investigations': ['Urinalysis', 'FBC', 'BUE and creatinine', 'Serum uric acid', 'Blood culture', 'Urine culture', 'Abdomino-pelvic ultrasound scan'], 'Treatment Objectives': ['To recognize and correct reversible Causes', 'To prevent further renal injury', 'To maintain a normal electrolyte and fluid volume milieu', 'To remove toxic waste from the body (dialysis)'], 'Non Pharmacological Treatment': ['Nutrition', 'Daily weighing', 'Maintain fluid balance', 'Avoid hyperkalaemia'], 'Pharmacological Treatment': {'1stLineTreatment': {'Treatment of hypovolaemia': 'Sodium Chloride, 0.9%, IV, Ringers lactate, Blood transfusion, Plasma replacement', 'To re-establish diuresis after adequate fluid replacement': 'Furosemide, IV, Adult, Children'}, 'Control of hyperkalaemia': {'Adult': 'Calcium gluconate 10%, IV, Soluble Insulin, IV, Sodium bicarbonate, IV', 'Children': 'Salbutamol, nebulized, Calcium gluconate 10%, IV, Soluble Insulin, IV, Sodium bicarbonate, IV'}, 'Non Pharmacological Treatment': ['All patients with clinical indications for dialysis must be referred promptly to a center with facilities for dialysis.']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with an array of distressing symptoms, including fever, lower abdominal pain, pain during sexual intercourse, an offensive vaginal discharge, and dysuria (painful urination) or urethral discomfort. During examination, specific signs are observed, which include abnormal vaginal discharge, tenderness when moving the cervix (cervical excitation), tenderness in the lower abdominal area, as well as adnexal tenderness and masses.","{'Suspected medical condition': 'ACUTE_LOWER_ABDOMINAL_PAIN', 'Causes': ['Pelvic Inflammatory Disease (PID)', 'Ruptured ectopic pregnancy', 'Septic abortion', 'Ectopic pregnancy', 'Appendicitis', 'Ovarian torsion', 'STI-related', 'Non STI-related (e.g urinary tract infection)', 'Septic abortion', 'Postpartum sepsis', 'Foreign body including IUCD'], 'Investigations': ['Pelvic ultrasound', 'Pregnancy test (if sexually active and amenorrhea present)', 'High vaginal swab culture and sensitivity'], 'Treatment': {'Objectives': ['Identify and manage potential life-threatening Causes (e.g. ectopic pregnancy)', 'Treat underlying bacterial infection', 'Relieve pain and inflammation'], 'Pharmacological': {'Mild Cases': ['Ciprofloxacin (500 mg 12 hourly for 3 days)', 'Doxycycline (100 mg 12 hourly for 14 days)', 'Metronidazole (400 mg 12 hourly for 14 days)'], 'Severe Cases': ['Ceftriaxone (250 mg daily for 3 days)', 'Doxycycline (100 mg 12 hourly for 3 days)', 'Metronidazole (IV, 500 mg 8 hourly for 3 days)', 'Doxycycline (100 mg 12 hourly for 14 days)', 'Metronidazole (400 mg 12 hourly for 14 days)']}, 'PainRelief': ['Diclofenac (50-100 mg 8 to 12 hourly)', 'Mefenamic Acid (500 mg 8 hourly)']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 17-year-old male presents with symptoms that have emerged 1-3 weeks after an untreated or inadequately treated throat infection. This patient also exhibits a few of the associated risk factors, namely swimming in dirty waters, which might have contributed to the condition.","{'Suspected medical condition': 'ACUTE ORTHO-INFECTIONS', 'Causes': {'SpecificInfections': ['Acute osteomyelitis', 'Acute septic arthritis', 'Acute pyomyositis', 'Acute-on-chronic osteomyelitis', 'Acute-on-chronic septic arthritis']}, 'Investigations': ['FBC', 'X-ray of paranasal sinuses'], 'Treatment': {'Objectives': ['Reduce pain and fever symptoms', 'Eradicate infection', 'Encourage sinus drainage'], 'Pharmacological': {'Bacterial Infection': ['Amoxicillin (500 mg 8 hourly for 10 days)', 'Amoxicillin + Clavulanic Acid (1 g 12 hourly for 7 days)'], 'Bacterial Infection (Penicillin Allergy)': ['Erythromycin (500 mg 6 hourly for 10 days)', 'Azithromycin (500 mg daily for 5 days)'], 'Pain Relief': ['Paracetamol (500 mg-1 g 6-8 hourly)'], 'Nasal Decongestion': ['Ephedrine Nasal Drops'], 'Referral Criteria': 'Refer to ENT Specialist if no improvement after 1 week of treatment'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient presents with a range of concerning symptoms that have prompted seeking medical attention. These symptoms include fever, malaise, migratory joint pain, palpitations, easy fatiguability, chest pain, skin rash, and abnormal body movements known as chorea. On examination, distinct signs have been observed, such as fever exceeding 38°C, joint tenderness and swelling, a rapid heart rate, murmurs, signs of heart failure, and the possibility of a pericardial rub, which collectively suggest carditis. Furthermore, the patient displays a skin rash and subcutaneous nodules over bony prominences.","{'Suspected medical condition': 'ACUTE RHEUMATIC FEVER', 'Causes': 'Group A Streptococcal Infection', 'Investigations': ['FBC', 'ESR or C-reactive protein', 'Sickling status', 'Chest X-ray', 'Throat swab for culture', 'Anti-streptolysin O titre', '12-lead ECG', 'Echocardiogram'], 'Treatment': {'Objectives': ['Eradicate streptococcal throat infection', 'Suppress inflammatory response', 'Prevent recurrent episodes and heart valve damage', 'Treat heart failure if co-existent'], 'Pharmacological': {'Acute Rheumatic Fever': ['Penicillin (e.g., Benzathine benzylpenicillin)', 'Aspirin or Ibuprofen'], 'Acute Rheumatic Fever with Carditis': ['Prednisolone in addition to the above'], 'Acute Rheumatic Fever with Heart Failure': ['Treatment for heart failure'], 'Secondary Prophylaxis': ['Penicillin (e.g., Benzathine benzylpenicillin) every 4 weeks'], 'Surgery': 'Valve replacement if severe valve disease is present'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient's behavior raises concerns across multiple domains. In terms of inattention, the patient struggles to finish tasks, seems to not pay attention when spoken to, and faces difficulty concentrating on school work. Impulsivity is another area of challenge, where the patient frequently acts before thinking, engages in physical aggression when upset, can't wait for their turn in activities, and participates in risky behaviors without weighing the consequences. Hyperactivity is evident as well, with the patient attempting to handle multiple tasks simultaneously, engaging in constant talking, and finding it difficult to stay seated or still. Distractibility is also an issue, as the patient demonstrates a lack of focus when spoken to, often daydreams, requires guidance for independent work, and tends to be disorganized.","{'Suspected medical condition': 'ATTENTION DEFICIT HYPERACTIVITY DISORDER', 'Causes': ['Unknown', 'Hereditary', 'Imbalance of neurotransmitters'], 'Investigations': ['Usually none'], 'Treatment': {'Objectives': ['Reduce hyperactivity', 'Improve attention', 'Improve compliance with instructions'], 'Non-pharmacological': ['Behavior management techniques', 'Class helper in class to focus attention', 'Parenting classes', 'Avoid punitive physical interventions'], 'Pharmacological': {'1st Line Treatment': {'Methylphenidate (Oral)': {'Adults': '10 mg 8-12 hourly (max. 60 mg)', 'Children (6-18 years)': '2.5-5 mg 12 hourly (max. 30 mg 12 hourly)', 'Children (4-6 years)': '2.5 mg 12 hourly (max. 1.4 mg/kg)'}, 'Atomoxetine (Oral)': {'Adults': '40 mg once daily for 7 days (max. 100 mg)', 'Children (>6 years, >70 kg)': '40 mg once daily for 7 days (max. 80 mg)', 'Children (>6 years, <70 kg)': '500 micrograms/kg daily for 7 days (max. 1.2 mg/kg)'}}, '2nd Line Treatment': {'Imipramine (Oral)': {'Adults': '75 mg daily (max. 200 mg per day)', 'Children (6-18 years)': '10-30 mg 12 hourly'}}, 'Referral Criteria': 'Refer to clinical psychologist, occupational therapist, remedial teacher, speech therapist as needed; refer to specialist if no clinical improvement after a month of therapy'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient's presentation is marked by a range of concerning symptoms that warrant immediate medical attention. These symptoms include nausea, vomiting, weakness, collapse, abdominal pain, and diarrhea. Upon examination, distinctive signs have been observed, such as dehydration, dangerously low or unrecordable blood pressure, darkening of oral mucosa and skin, and the presence of a Cushingoid appearance. Furthermore, in children, there could be indications of ambiguous genitalia and short stature.","{'Suspected medical condition': 'ADRENAL INSUFFICIENCY', 'Causes': ['Sudden cessation of prolonged corticosteroid use/abuse', 'Stress in a patient with undiagnosed adrenal insufficiency', 'Pituitary failure', ""Auto-immune disease of the adrenal gland (Addison's disease)"", 'Severe infections affecting the adrenal gland', 'Congenital adrenal hyperplasia in children'], 'Investigations': ['FBC', 'Liver Function Tests', 'Blood urea and electrolytes', 'Blood glucose', 'Plasma cortisol', 'Blood film for malaria parasites', 'Urine and blood cultures'], 'Treatment': {'Objectives': ['Correct fluid and electrolyte imbalance', 'Correct hypoglycemia', 'Replace corticosteroids', 'Identify cause and treat precipitating factor'], 'Pharmacological': {'Acute Treatment': {'Intravenous fluid replacement': {'Adults': '0.9% Sodium Chloride in 5% Glucose (1 litre 4-6 hourly)', 'Children': '0.45% Sodium Chloride in 5% Glucose'}, 'Hydrocortisone (IV)': {'Adults': '200 mg stat, then 100 mg 6 hourly', 'Children': {'6-12 years': '100 mg 6 hourly', '1-5 years': '50 mg 6 hourly'}}}, 'Referral Criteria': 'Refer all patients suspected of adrenal insufficiency to a regional/teaching hospital for assessment and management'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient exhibits a variety of concerning risk factors, including a long history of heavy alcohol use, a previous history of delirium tremens (DT), concurrent illness, high alcohol levels during withdrawal, a prolonged duration since the last drink (over 48 hours), and an age over 30 years. The underlying cause can be attributed to the sudden withdrawal of alcohol from a long-term chronic user. Symptoms encompass restlessness, shaking of hands, limbs, or body, sweating, confusion, inappropriate behavior, unintelligible speech, misidentification, visual, tactile, or auditory hallucinations, fever exceeding 38°C, pulse surpassing 100 beats per minute, and elevated blood pressure. Examination reveals noticeable signs including tremors, psychomotor agitation or retardation, vomiting, disorientation, intermittent hallucinations of various senses, fever exceeding 38°C, pulse surpassing 100 beats per minute, and high blood pressure.","{'Suspected medical condition': 'ALCOHOL WITHDRAWAL DELIRIUM TREMENS', 'Causes': ['Sudden withdrawal of alcohol from a long-term chronic user'], 'Investigations': ['Full Blood Count', 'Liver Function Tests', 'Screen for malaria and common infections'], 'Treatment': {'Objectives': ['Relieve agitation and calm patient', 'Correct fluid and electrolyte imbalance', 'Prevent complications like seizures', 'Prevent or manage heart complications if present'], 'Non-pharmacological': ['Seclusion of the patient', 'Application of restraints', 'Psychotherapy and psychoeducation'], 'Pharmacological': {'1st Line Treatment': {'Benzodiazepines (e.g., Lorazepam, Diazepam)': {'Days 1-3': 'Varied dosing', 'Days 4-5': 'Varied dosing'}}, '2nd Line Treatment': {'Phenobarbitone (IV or IM)': '0.5-1.5 mg/kg 12 hourly'}, 'Referral Criteria': 'Refer patients to a specialist if symptoms are difficult to control or if patient remains agitated after appropriate treatment'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient reports an array of distressing symptoms, including right upper abdominal pain, fever, malaise, sweats, cough, hiccups, anorexia, weight loss, jaundice, and concurrent diarrhea. Upon examination, specific signs are evident, such as a large tender liver, tenderness and/or bulging at right intercostal spaces, jaundice, dullness to percussion on the right lower chest zones along with basal crepitations, and the potential development of amoebic empyema extending into the chest cavity. Additionally, peritonitis might be present.","{'Suspected medical condition': 'AMOEBIC LIVER ASCESS', 'Causes': ['Entamoeba histolytica'], 'Investigations': ['Abdominal ultrasound', 'Chest X-ray', 'FBC', 'ESR', 'Stool examination', 'Abdominal CT scan', 'Serology (amoebic antibodies)'], 'Treatment': {'Objectives': ['Eradicate Entamoeba histolytica infection', 'Prevent liver tissue destruction', 'Prevent complications'], 'Non-pharmacological': ['Therapeutic aspiration if poor response to therapy'], 'Pharmacological': {'1st Line Treatment': {'Metronidazole (Oral)': {'Adults': '800 mg 8 hourly for 10 days (tissue agent)', 'Children': '15 mg/kg 8 hourly for 10 days (tissue agent)'}, 'Diloxanide Furoate (Oral)': {'Adults': '500 mg 8 hourly for 10 days (luminal agent)', 'Children': '6-8 mg/kg 8 hourly for 10 days (luminal agent)'}}, '2nd Line Treatment': {'Tinidazole (Oral)': {'Adults': '2 g once daily for 5 days (tissue agent)', 'Children': '>3 years; 50 mg/kg once daily for 5 days (tissue agent)'}, 'Paromomycin (Oral)': {'Adults': '8-10 mg/kg 8 hourly for 7 days (luminal agent)', 'Children': '8-10 mg/kg 8 hourly for 7 days (luminal agent)'}}}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient's presentation reveals a set of concerning symptoms, including easy fatigability, dizziness, shortness of breath on exertion, palpitations, and gastrointestinal bleeding symptoms, such as blood in stools. Examination highlights distinctive signs, such as pale mucous membranes and palms, angular stomatitis, spoon-shaped and ridged finger and toe nails, palpable spleen, liver, and lymph nodes, potential signs of heart failure in severe cases, jaundice in cases of hemolysis, and the possibility of petechiae and purpura in instances of bone marrow failure.","{'Suspected medical condition': 'ANAEMIA', 'Causes': ['Nutritional deficiencies', 'Bleeding', 'Hemolysis', 'Chronic diseases', 'Bone marrow disorders', 'Disease infiltration', 'Aplasia', 'Chronic kidney disease', 'Hypothyroidism', 'Autoimmune diseases', 'Drugs'], 'Investigations': ['FBC', 'Reticulocyte count and blood film comment', 'Sickling test and Hb electrophoresis if indicated', 'Blood film for malaria parasites', 'Kidney function tests', 'Serum iron, Vitamin B12, and folate levels', ""Direct Coomb's test"", 'Stool for hookworm ova', 'Stool for occult blood', 'Urine for schistosoma ova', 'Specialized tests depending on the suspected cause (e.g., bone marrow examination, ANA test)'], 'Treatment': {'Objectives': ['Treat underlying cause of anaemia', 'Restore hemoglobin levels to normal', 'Replenish iron stores in iron deficiency', 'Correct anaemia in specific conditions (e.g., sickle cell disease, B12 or folate deficiency)'], 'Non-pharmacological': ['Advise on a balanced diet', 'Surgical treatment if applicable (e.g., hemorrhoids, tumors)'], 'Pharmacological': {'Iron Deficiency Anaemia': {'1st Line Treatment': {'Ferrous Sulphate (Oral)': {'Adults': '325 mg 8 hourly for 3-6 months', 'Children': {'>10 years': '200 mg 12 hourly for 3-6 months', '8-10 years': '200 mg daily for 3-6 months', '5-7 years': '80-120 mg 8-12 hourly for 3-6 months', '1-4 years': '45-90 mg 8-12 hourly for 3-6 months', '<1 year': '30-60 mg 8-12 hourly for 3-6 months'}}, 'Ferrous Fumarate (Oral)': {'Adults': '325 mg 8 hourly', 'Children': '3-6 mg elemental iron/kg per day for 3-6 months'}}, '2nd Line Treatment': {'Parenteral Iron (IV)': 'Refer to a specialist (rare case of malabsorption)'}}, 'Vitamin B12 Deficiency': {'Vitamin B12 (IM)': {'Adults': '1 mg every other day for 6 doses, then 1 mg every 3 months for life', 'Children': '1 mg stat, then 1 mg every 3 months for life'}}, 'Folate Deficiency': {'Folic Acid (Oral)': {'Adults': '5 mg daily', 'Children': '2.5-5 mg daily'}}, 'Severe Symptomatic Anaemia': 'Blood transfusion with packed cells', 'Referral Criteria': 'Refer patients with no improvement in haemoglobin levels after two weeks or severe anaemia to a specialist'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 50-year-old patient presents with a history of fatigue, dizziness, and shortness of breath during activities. The patient reports palpitations and occasional blood in stools. Examination reveals pale mucous membranes, spoon-shaped and ridged nails, and mild hepatomegaly. Laboratory tests confirm elevated serum creatinine and decreased glomerular filtration rate, indicative of CKD. ","{'Suspected medical condition': 'ANAEMIA IN CHRONIC KIDNEY DISEASE', 'Causes': ['Erythropoietin deficiency', 'Microvascular disease', 'Increased gastrointestinal bleeding', 'Increased oxidative stress'], 'Investigations': ['FBC', 'Reticulocyte count', 'Transferrin saturation', 'Serum ferritin', 'Stool occult blood', 'And more specialized tests depending on the suspected cause'], 'Treatment': {'Objectives': ['Achieve and maintain a target-range Hb level of 11-12 g/dL'], 'Non-pharmacological': ['Similar to general anaemia non-pharmacological treatment '], 'Pharmacological': {'CKD Stages 1-2': {'Ferrous Sulphate (Oral)': '325 mg 8 hourly for 4 weeks'}, 'CKD Stages 3-4': ['Iron replacement with Ferrous Sulphate or Ferrous Gluconate', 'And Epoetin beta, Methoxy polyethylene glycol epoetin beta, or Darbepoetin alfa (consult specialist)'], 'Referral Criteria': 'Refer all CKD patients with anaemia to a specialist or nephrologist'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 28-year-old pregnant woman presents with a history of persistent dizziness, accompanied by noticeable swelling in her feet. She expresses a sense of general weakness and reports experiencing easy fatigue even with minimal activity. Upon examination, mucosal pallor is evident, raising concerns about her overall health. The presence of jaundice is noted, adding a layer of complexity to her condition. Further assessment reveals mild hepatomegaly and palpable splenomegaly. Given the severity of her symptoms, heart failure is considered, although she currently doesn't exhibit any overt signs of it.","{'Suspected medical condition': 'ANAEMIA IN PREGNANCY', 'Causes': ['Physiological changes in pregnancy', 'Poor dietary intake', 'Haemolytic disorders', 'Malaria', 'Infestations', 'Chronic infections', 'Bleeding complications in pregnancy'], 'Investigations': ['FBC', 'Peripheral blood film comment', 'Blood film for malaria parasites', 'Sickling and Hb electrophoresis', 'G6PD activity', 'Serum iron, total iron binding capacity, ferritin', 'Stool analysis for hookworm ova', 'Urinalysis for schistosoma ova and urobilinogen'], 'Treatment': {'Objectives': ['Relieve symptoms', 'Correct hemoglobin levels', 'Identify and treat underlying cause', 'Manage associated complications'], 'Non-pharmacological': ['Encourage balanced diet with iron, folate, and vitamin-rich foods', 'Avoid inhibiting iron absorption', 'Frequent antenatal clinic visits and hemoglobin level monitoring'], 'Pharmacological': {'Ferrous Sulphate (Oral)': '325 mg 8 hourly', 'Ferrous Gluconate (Oral)': '300 mg 8-12 hourly', 'Folic Acid (Oral)': '5 mg daily', 'Blood transfusion': 'In severe cases (Hb < 7 g/dL)', 'Furosemide IV': '20-40 mg if giving whole blood'}, 'Referral Criteria': {'Dietician or diet nurse': 'For counseling and support', 'Specialist': ['For severe anaemia treatment (Hb < 7 g/dL)', 'If no response to oral treatment', 'For management of associated conditions (e.g., HIV, Hemoglobinopathies)']}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 30-year-old woman, G1P0 (first pregnancy, no previous deliveries), arrives at the labor and delivery unit with evident discomfort. She reports experiencing intense, rhythmic lower abdominal pain that gradually intensifies. She mentions that the pain starts in her back and radiates towards the front. Along with the pain, she describes a feeling of pressure in her pelvis. During examination, she appears visibly distressed and is unable to find a comfortable position due to the ongoing pain. Her contractions are regular and occurring at frequent intervals. The healthcare team observes her wincing and grimacing during contractions, which are also visible on the electronic fetal monitor. The pain is accompanied by a gradual dilatation of the cervix, indicating progress towards active labor.","{'Suspected medical condition': 'PAIN RELIEF DURING LABOR', 'Pharmacological Treatment': {'FirstStageOfLabor_Parenteral': ['Morphine, IV, 2.5-5 mg 4 hourly as required', 'Metoclopramide, IV, 5-10 mg 8 hourly as required for vomiting', 'Pethidine hydrochloride, IM, 50-100 mg stat, repeated as required 3-4 hours later (Maximum 400 mg in 24 hours)', 'Promethazine, IV/IM, 25 mg as required (Maximum 25 mg 6 hourly) to reduce vomiting and potentiate analgesic effect of Pethidine'], 'First Stage Of Labor Inhalational': ['Nitrous oxide and Oxygen mixture, 50:50 (used in late first stage when delivery expected within 1 hour)'], 'First Stage Of Labor Epidural': 'Procedure carried out by an anaesthetist', 'Second Stage Of Labor': ['Local Anaesthetics (Lidocaine hydrochloride 1%) for episiotomy and pudendal block', 'Premedication before Ketamine administration: Atropine, IM, 600 microgram stat, and Oxygen by face mask, 6-8 L/minute', 'Ketamine, IM or IV, 5-10 mg/kg stat (1st line), or Ketamine IV infusion for longer procedures (2nd line)', 'Diazepam, slow IV, 5-10 mg (administered over 2-3 minutes) to prevent hallucinations', 'Second Line Treatment: Ketamine, IM or IV, 1-2 mg/kg (slowly), or Ketamine IV infusion for longer procedures, and Diazepam, slow IV, 5-10 mg (administered over 2-3 minutes)'], 'Referral Criteria': 'Procedure carried out by an anaesthetist. Refer to specialist for severe anemia treatment (Hb < 7 g/dL), no response to oral treatment, or management of associated conditions (e.g., HIV, Hemoglobinopathies)'}}"
